Dispatching_base_num,Pickup_date,locationID
B00013,2015-01-01 00:30:00,
B00013,2015-01-01 01:22:00,
B00013,2015-01-01 01:23:00,
B00013,2015-01-01 01:44:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:50:00,
B00013,2015-01-01 04:45:00,
B00013,2015-01-01 06:30:00,
B00013,2015-01-01 07:15:00,
B00013,2015-01-01 07:54:00,
B00013,2015-01-01 10:30:00,
B00013,2015-01-01 11:00:00,
B00013,2015-01-01 12:42:00,
B00013,2015-01-01 12:58:00,
B00013,2015-01-01 13:28:00,
B00013,2015-01-01 14:27:00,
B00013,2015-01-01 16:15:00,
B00013,2015-01-01 16:59:00,
B00013,2015-01-01 17:53:00,
B00013,2015-01-01 18:45:00,
B00013,2015-01-01 19:00:00,
B00013,2015-01-01 19:54:00,
B00013,2015-01-01 21:45:00,
B00013,2015-01-01 22:00:00,
B00013,2015-01-02 01:00:00,
B00013,2015-01-02 01:08:00,
B00013,2015-01-02 01:10:00,
B00013,2015-01-02 02:45:00,
B00013,2015-01-02 05:03:00,
B00013,2015-01-02 05:15:00,
B00013,2015-01-02 05:45:00,
B00013,2015-01-02 07:30:00,
B00013,2015-01-02 07:45:00,
B00013,2015-01-02 07:46:00,
B00013,2015-01-02 08:05:00,
B00013,2015-01-02 08:38:00,
B00013,2015-01-02 09:45:00,
B00013,2015-01-02 10:31:00,
B00013,2015-01-02 10:35:00,
B00013,2015-01-02 11:00:00,
B00013,2015-01-02 11:17:00,
B00013,2015-01-02 11:54:00,
B00013,2015-01-02 12:12:00,
B00013,2015-01-02 12:44:00,
B00013,2015-01-02 13:04:00,
B00013,2015-01-02 13:10:00,
B00013,2015-01-02 13:40:00,
B00013,2015-01-02 13:45:00,
B00013,2015-01-02 14:00:00,
B00013,2015-01-02 14:02:00,
B00013,2015-01-02 14:15:00,
B00013,2015-01-02 15:23:00,
B00013,2015-01-02 15:25:00,
B00013,2015-01-02 16:00:00,
B00013,2015-01-02 16:16:00,
B00013,2015-01-02 16:25:00,
B00013,2015-01-02 16:45:00,
B00013,2015-01-02 16:51:00,
B00013,2015-01-02 17:44:00,
B00013,2015-01-02 17:46:00,
B00013,2015-01-02 17:49:00,
B00013,2015-01-02 18:07:00,
B00013,2015-01-02 18:20:00,
B00013,2015-01-02 18:25:00,
B00013,2015-01-02 18:27:00,
B00013,2015-01-02 18:33:00,
B00013,2015-01-02 18:50:00,
B00013,2015-01-02 19:15:00,
B00013,2015-01-02 19:30:00,
B00013,2015-01-02 19:53:00,
B00013,2015-01-02 19:57:00,
B00013,2015-01-02 20:07:00,
B00013,2015-01-02 20:08:00,
B00013,2015-01-02 20:10:00,
B00013,2015-01-02 20:29:00,
B00013,2015-01-02 20:30:00,
B00013,2015-01-02 20:30:00,
B00013,2015-01-02 20:43:00,
B00013,2015-01-02 21:03:00,
B00013,2015-01-02 21:27:00,
B00013,2015-01-02 21:27:00,
B00013,2015-01-02 21:38:00,
B00013,2015-01-02 21:41:00,
B00013,2015-01-02 21:47:00,
B00013,2015-01-02 21:47:00,
B00013,2015-01-02 22:00:00,
B00013,2015-01-02 22:00:00,
B00013,2015-01-02 22:09:00,
B00013,2015-01-02 22:11:00,
B00013,2015-01-02 22:25:00,
B00013,2015-01-02 22:47:00,
B00013,2015-01-02 22:47:00,
B00013,2015-01-02 22:49:00,
B00013,2015-01-02 22:49:00,
B00013,2015-01-02 22:52:00,
B00013,2015-01-02 23:00:00,
B00013,2015-01-02 23:02:00,
B00013,2015-01-02 23:18:00,
B00013,2015-02-01 00:00:00,
B00013,2015-02-01 00:01:00,
B00013,2015-02-01 00:21:00,
B00013,2015-02-01 01:00:00,
B00013,2015-02-01 02:10:00,
B00013,2015-02-01 03:34:00,
B00013,2015-02-01 03:37:00,
B00013,2015-02-01 03:39:00,
B00013,2015-02-01 03:42:00,
B00013,2015-02-01 03:44:00,
B00013,2015-02-01 03:45:00,
B00013,2015-02-01 03:46:00,
B00013,2015-02-01 03:47:00,
B00013,2015-02-01 03:50:00,
B00013,2015-02-01 03:52:00,
B00013,2015-02-01 03:55:00,
B00013,2015-02-01 03:57:00,
B00013,2015-02-01 03:59:00,
B00013,2015-02-01 04:06:00,
B00013,2015-02-01 04:07:00,
B00013,2015-02-01 04:14:00,
B00013,2015-02-01 04:17:00,
