hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02867,2019-02-01 00:05:18,2019-02-01 00:14:57,245,251,
HV0003,B02879,2019-02-01 00:41:29,2019-02-01 00:49:39,216,197,
HV0005,B02510,2019-02-01 00:51:34,2019-02-01 01:28:29,261,234,
HV0005,B02510,2019-02-01 00:03:51,2019-02-01 00:07:16,87,87,
HV0005,B02510,2019-02-01 00:09:44,2019-02-01 00:39:56,87,198,
HV0005,B02510,2019-02-01 00:59:55,2019-02-01 01:06:28,198,198,1
HV0005,B02510,2019-02-01 00:12:06,2019-02-01 00:42:13,161,148,
HV0005,B02510,2019-02-01 00:45:35,2019-02-01 01:14:56,148,21,
HV0003,B02867,2019-02-01 00:10:48,2019-02-01 00:20:23,226,260,
HV0003,B02867,2019-02-01 00:32:32,2019-02-01 00:40:25,7,223,
HV0003,B02867,2019-02-01 00:59:54,2019-02-01 01:09:31,129,70,
HV0003,B02764,2019-02-01 00:01:11,2019-02-01 00:21:35,263,229,
HV0003,B02764,2019-02-01 00:36:22,2019-02-01 00:55:30,162,129,
HV0002,B02914,2019-02-01 00:10:09,2019-02-01 00:31:04,161,33,
HV0003,B02864,2019-02-01 00:57:50,2019-02-01 01:05:08,258,197,
HV0003,B02875,2019-02-01 00:05:24,2019-02-01 00:17:13,255,17,
HV0003,B02875,2019-02-01 00:27:38,2019-02-01 00:32:36,255,112,
HV0003,B02875,2019-02-01 00:52:50,2019-02-01 00:56:02,234,137,
HV0003,B02682,2019-02-01 00:30:24,2019-02-01 00:59:08,163,256,
HV0003,B02682,2019-02-01 00:35:06,2019-02-01 00:44:27,161,262,
HV0003,B02764,2019-02-01 00:12:54,2019-02-01 00:22:32,4,114,
HV0002,B02914,2019-02-01 00:30:07,2019-02-01 00:49:48,113,48,
HV0003,B02617,2019-02-01 00:02:16,2019-02-01 00:08:58,97,17,1
HV0003,B02617,2019-02-01 00:15:51,2019-02-01 00:23:54,17,225,1
HV0003,B02617,2019-02-01 00:30:02,2019-02-01 00:47:24,225,39,
HV0003,B02617,2019-02-01 00:53:27,2019-02-01 01:08:23,39,76,
HV0003,B02875,2019-02-01 00:17:57,2019-02-01 00:24:26,7,7,1
HV0003,B02875,2019-02-01 00:22:39,2019-02-01 00:28:47,7,7,1
HV0005,B02510,2019-02-01 00:43:12,2019-02-01 01:09:49,249,226,
